Reference, Value, Footprint, Datasheet
"P1","WG12864A-GLCD","Pin_Headers:Pin_Header_Straight_1x20","","",""
"R3","GLCD-100","Discret:R3","","",""
"RV1","GLCD-15k","Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp","","",""
"C1","GLCD-100uF","Capacitors_ThroughHole:C_Radial_D5_L11_P2","","",""
"R2","GLCD-10K","Discret:R3","","",""
"R10","RS485-120","Discret:R3","","",""
"U1","MAX485","Housings_DIP:DIP-8_W7.62mm_LongPads","","",""
"P2","RS485","Pin_Headers:Pin_Header_Straight_1x02","","",""
"R1","GLCD-10K","Discret:R3","","",""
"D1","Dp-1N5817-L1","Discret:D3","","",""
"R4","Rp-1k-L1","Discret:R3","","",""
"D2","Dp-1N5817-L2","Discret:D3","","",""
"R5","Rp-1k-L2","Discret:R3","","",""
"D3","Dp-1N5817-L3","Discret:D3","","",""
"R6","Rp-1k-L3","Discret:R3","","",""
"D4","Dp-1N5817-L4","Discret:D3","","",""
"R7","Rp-1k-L4","Discret:R3","","",""
"D5","Dp-1N5817-L5","Discret:D3","","",""
"R8","Rp-1k-L5","Discret:R3","","",""
"D6","Dp-1N5817-L6","Discret:D3","","",""
"R9","Rp-1k-L6","Discret:R3","","",""
"LPC1769-N1","LPC1769-54Pines","mis-footprint:Stick-ModLector","","",""
"S1","SW_DIP_x4","Housings_DIP:DIP-8_W7.62mm_LongPads","","",""
"RL1","Rele-220v-10A","Relays_ThroughHole:Relay_SPDS_OMRON-G6E","","",""
"P3","Control_Puerta","Pin_Headers:Pin_Header_Straight_1x04","","",""
"P12","Salida Rele","Connect:bornier3","","",""
"C2","ADJ_100uF(25v)","Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5","","",""
"D7","ADJ_1N5819","Discret:D3","","",""
"L1","ADJ_330uH","Inductors_NEOSID:Neosid_Inductor_SM-NE127","","",""
"C4","ADJ_330uF(25v)","Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5","","",""
"P4","POWER_IN","Connect:bornier2","","",""
"C3","5v_100uF(25v)","Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5","","",""
"D8","5v_1N5819","Discret:D3","","",""
"L2","5v_330uH","Inductors_NEOSID:Neosid_Inductor_SM-NE127","","",""
"C5","5v_330uF","Capacitors_ThroughHole:C_Radial_D8_L13_P3.8","","",""
"C6","3v3_100uF","Capacitors_ThroughHole:C_Radial_D5_L11_P2","","",""
"U2","LM2575-ADJ","mis-footprint:TO-220-x5-(3_2)","","",""
"U3","LM2575-5","mis-footprint:TO-220-x5-(2_3)","","",""
"R11","ADJ-R1(1k)","Discret:R3","","",""
"RV2","ADJ_POT","Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp","","",""
"P5","POWER_Out-(+5V)","Pin_Headers:Pin_Header_Straight_1x02","","",""
"U4","RegLin-G-O-I","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","",""
"OP1","LM324-A","Housings_DIP:DIP-14_W7.62mm_LongPads","","",""
"R32","LA-Ra1-4k7","Discret:R4","","",""
"R35","LA-Ra2-1k","Discret:R3","","",""
"R24","L1-RG1-2k2","Discret:R3","","",""
"R18","L1-RG2-1k2","Discret:R3","","",""
"P6","L1-IN","mis-footprint:Pin_1x2_Paso","","",""
"P7","L2-IN","mis-footprint:Pin_1x2_Paso","","",""
"R19","L2-RG2-1k2","Discret:R3","","",""
"R25","L2-RG1-2k2","Discret:R3","","",""
"R12","L1-Rin-120","Discret:R3","","",""
"R13","L2-Rin-120","Discret:R3","","",""
"OP2","LM324-B","Housings_DIP:DIP-14_W7.62mm_LongPads","","",""
"R30","LB-Ra1-4k7","Discret:R4","","",""
"R33","LB-Ra2-1k","Discret:R3","","",""
"R26","L3-RG1-2k2","Discret:R3","","",""
"R20","L3-RG2-1k2","Discret:R3","","",""
"P8","L3-IN","mis-footprint:Pin_1x2_Paso","","",""
"P9","L4-IN","mis-footprint:Pin_1x2_Paso","","",""
"R21","L4-RG2-1k2","Discret:R3","","",""
"R27","L4-RG1-2k2","Discret:R3","","",""
"R14","L3-Rin-120","Discret:R3","","",""
"R15","L4-Rin-120","Discret:R3","","",""
"OP3","LM324-C","Housings_DIP:DIP-14_W7.62mm_LongPads","","",""
"R31","LC-Ra1-4k7","Discret:R4","","",""
"R34","LC-Ra2-1k","Discret:R3","","",""
"R28","L5-RG1-2k2","Discret:R3","","",""
"R22","L5-RG2-1k2","Discret:R3","","",""
"P10","L5-IN","mis-footprint:Pin_1x2_Paso","","",""
"P11","L6-IN","mis-footprint:Pin_1x2_Paso","","",""
"R23","L6-RG2-1k2","Discret:R3","","",""
"R29","L6-RG1-2k2","Discret:R3","","",""
"R16","L5-Rin-120","Discret:R3","","",""
"R17","L6-Rin-120","Discret:R3","","",""
